MonthYear,DistinctDomains
2016-08,40
2016-11,19
2017-01,4
2017-02,6
2017-03,1
2017-08,2
2017-09,1
2017-10,48
2017-12,3
2018-01,5990
2018-04,1
2018-08,6
2018-12,5
2019-01,1
2019-02,1
2019-03,99
2019-05,11
2019-06,10
2019-10,6
2019-12,51
2020-01,5
2020-03,14
2020-07,25
2020-12,62
2021-12,42
2022-02,14
2022-04,7
2022-05,41
2022-08,15
2023-01,11
2023-04,108
2023-05,14
2023-06,66
2023-10,31
2024-03,12
2024-04,14
2024-05,6
2024-08,15
2024-09,66
2024-11,305
2025-01,9
2025-03,1
2025-04,1
2025-05,1381
2025-06,31
2025-08,335
2025-09,19
2025-11,217
2025-12,14
2026-01,53
2026-02,330
2026-03,21
2026-04,5
2026-05,1
